,year,Renewable energy consumption (TJ),Access to electricity (% of rural population with access),Access to Clean Fuels and Technologies for cooking (% of total population),Access to electricity (% of total population),Access to electricity (% of urban population with access),Energy intensity level of primary energy (MJ/2011 USD PPP),Renewable electricity output (GWh),Renewable electricity share of total electricity output (%),Renewable energy share of TFEC (%),Total electricity output (GWh),Total final energy consumption (TFEC) (TJ),country
19,2009,1264986.0,87.1,34.17,90.73,97.73,4.87983156850528,28093.0,29.4608681061694,45.772339806617495,95357.0,2763647.22744,Pakistan
20,2010,1304830.0,85.0974733363922,35.59,89.8137741088867,97.98424530029301,4.87211626720081,31811.0,33.7038057297847,46.7220403019112,94384.0,2792750.469732,Pakistan
21,2011,1320087.0,87.9,36.85,91.37,98.08,4.77746601054816,28517.0,29.9894836470712,46.070940481502106,95090.0,2865335.472216,Pakistan
22,2012,1349411.0,89.5268198759135,38.13,92.89678955078129,98.5306930541992,4.6689875457403,29857.0,31.0605981794538,46.523235588255304,96125.0,2900509.7838479998,Pakistan
23,2013,1383726.0,90.5,39.47,93.6,99.8,4.58216155222553,32270.0,31.006187785848798,47.4609520103179,104076.0,2915504.096292,Pakistan
24,2014,1414242.0,94.1020275363114,40.74,96.0158538818359,99.09857177734379,4.53627480631908,33276.0,31.1025535574083,46.6045297407692,106988.0,3034559.103732,Pakistan
25,2015,1446248.0,90.37,42.13,93.5,98.7,4.422162716289019,34844.0,31.430349717213396,46.4763249199424,110861.0,3111795.096732,Pakistan
26,2016,,98.807673698578,43.32,99.1474380493164,99.67388916015629,,,,,,,Pakistan
0,1990,148743.4,1.8,,13.9,34.7,12.076749103810402,7951.0,99.22625733183581,82.9827342296715,8013.0,179246.202696,Zambia
1,1991,151881.3,,,14.1154260635376,36.4744071960449,12.4338490708853,8982.0,99.28152978888029,82.2531576650771,9047.0,184651.026552,Zambia
2,1992,155978.9,3.1,,19.2,39.2,12.8631637474599,6516.0,99.07252546753841,82.70677676530791,6577.0,188592.647544,Zambia
3,1993,159944.4,1.0205309731263101,,15.287503242492699,38.5237426757813,12.0718245217937,8140.0,99.2925103683825,85.1351070829181,8198.0,187871.26190399998,Zambia
4,1994,163775.9,1.61423405424409,,15.865894317627001,39.5458335876465,13.3179332476675,8091.0,99.3980343980344,86.856529441463,8140.0,188559.111276,Zambia
5,1995,167550.7,2.2003500493855097,,16.4351081848145,40.5648345947266,13.1652617817189,7871.0,99.3311458859162,87.11133056448959,7924.0,192340.880244,Zambia
6,1996,169843.5,1.5,,17.3,44.1,12.2889781791307,7114.0,99.288206559665,89.64085703917809,7165.0,189471.080052,Zambia
7,1997,172457.1,3.33200036126778,,17.533767700195302,42.5894317626953,12.345331189544899,7886.0,99.30739201611891,87.0073847963624,7941.0,198209.727144,Zambia
8,1998,175028.2,2.0,,19.0,48.0,12.515833209247198,7539.0,99.1582270156517,87.7555454741181,7603.0,199449.7317,Zambia
9,1999,181512.4,4.3831118750320694,,18.559007644653303,44.589298248290994,12.063275288988098,7712.0,99.33024214322509,89.8353750195481,7764.0,202050.027576,Zambia
10,2000,187952.5,2.2,14.0,16.7,44.1,11.9787723517983,7750.0,99.38445755321881,89.99074143632471,7798.0,208857.596904,Zambia
11,2001,193989.2,4.953131426133679,14.11,19.4985198974609,46.561309814453104,11.744042641315,7893.0,99.3705149187964,89.809403412906,7943.0,216000.98945999998,Zambia
12,2002,199543.4,2.9,14.3,17.4,45.1,11.5890389405742,8102.0,99.37446338771,89.6466008565857,8153.0,222588.91926,Zambia
13,2003,205660.5,3.0,14.46,18.5,48.0,11.1919364470931,8257.0,99.3741725839451,89.3584743700971,8309.0,230152.205988,Zambia
14,2004,212238.9,3.1,14.58,20.3,47.6,10.758206037322099,8460.0,99.4358251057828,89.5047286067627,8508.0,237125.90754000001,Zambia
15,2005,218635.0,4.401629198745651,14.73,21.2778854370117,50.496509552002,10.369885462917301,8883.0,99.4068934646374,89.0002561764551,8936.0,245656.59627600003,Zambia
16,2006,225953.6,4.23741516873031,14.92,21.737333297729503,51.4948959350586,9.83945420098551,9669.0,99.86573022102871,89.8428837376804,9682.0,251498.60578800002,Zambia
17,2007,231434.8,3.0,15.08,18.5,47.8,9.10424316457514,9631.0,99.87555739914959,92.96140920357841,9643.0,248957.929944,Zambia
